0,10,302,4,10,,0,7550000,,,
10,20,4593,122,89,,3764754.09836066,7529508.19672131,,,
20,50,10997,629,238,,3496661.3672496,8741653.41812401,,,
50,100,37245,4762,433,,3910646.78706426,7821293.57412852,,,
100,150,37581,7644,337,,4916405.02354788,7374607.53532182,,,
150,200,33210,10000,354,,4981500,6642000,,,
200,300,18796,7953,234,,4726769.77241293,7090154.65861939,,,
300,400,4177,2542,115,,4929583.00550747,6572777.34067663,,,
400,500,1469,1104,30,,5322463.76811594,6653079.71014493,,,
500,600,763,709,18,,5380818.05359662,6456981.66431594,,,
600,700,322,349,8,,5535816.61891118,6458452.72206304,,,
700,800,30,38,2,,5526315.78947368,6315789.47368421,,,
800,1000,11,18,1,,4888888.88888889,6111111.11111111,,,
1000,1500,160,281,4,,5693950.17793594,8540925.26690391,,,
1500,2000,11,36,1,,4583333.33333333,6111111.11111111,,,
,,,,,,,,,,
,,,,,,最小值,最大值,均值,误差1,误差2
,,,,,,5693950.17793594,6111111.11111111,5902530.64452353,0.0353374644,0.0353374644
